Name,URL,Language,size,Oversize?
datasketches,https://github.com/apache/datasketches.git,,56177,False
commons-validator,https://github.com/apache/commons-validator.git,Java,7795,False
incubator-inlong-website,https://github.com/apache/incubator-inlong-website.git,JavaScript,48117,False
opennlp,https://github.com/apache/opennlp.git,Java,14665,False
skywalking-query-protocol,https://github.com/apache/skywalking-query-protocol.git,,116,False
dubbo-go-pixiu,https://github.com/apache/dubbo-go-pixiu.git,Go,17562,False
atlas,https://github.com/apache/atlas.git,Java,62727,False
shardingsphere-example,https://github.com/apache/shardingsphere-example.git,Java,3141,False
incubator-teaclave,https://github.com/apache/incubator-teaclave.git,Rust,12283,False
camel-kafka-connector,https://github.com/apache/camel-kafka-connector.git,Java,42640,False
parquet-mr,https://github.com/apache/parquet-mr.git,Java,17814,False
log4j,https://github.com/apache/log4j.git,Java,13974,False
incubator-inlong,https://github.com/apache/incubator-inlong.git,Java,15068,False
nano,https://github.com/apache/nano.git,JavaScript,1655,False
httpd,https://github.com/apache/httpd.git,C,335586,True
dubbo-go,https://github.com/apache/dubbo-go.git,Go,86989,False
rocketmq-flink,https://github.com/apache/rocketmq-flink.git,Java,215,False
activemq,https://github.com/apache/activemq.git,Java,57829,False
trafficserver,https://github.com/apache/trafficserver.git,C++,131295,False
trafficserver-site,https://github.com/apache/trafficserver-site.git,HTML,3226,False
systemds-website,https://github.com/apache/systemds-website.git,HTML,85348,False
ofbiz-plugins,https://github.com/apache/ofbiz-plugins.git,Java,162248,False
tika-docker,https://github.com/apache/tika-docker.git,Shell,101,False
commons-fileupload,https://github.com/apache/commons-fileupload.git,Java,2195,False
pinot-site,https://github.com/apache/pinot-site.git,HTML,44700,False
incubator-ponymail,https://github.com/apache/incubator-ponymail.git,JavaScript,9492,False
hbase-site,https://github.com/apache/hbase-site.git,,2686378,True
dubbo-rpc-jsonrpc,https://github.com/apache/dubbo-rpc-jsonrpc.git,Java,54,False
libcloud,https://github.com/apache/libcloud.git,Python,28699,False
jspwiki,https://github.com/apache/jspwiki.git,Java,73353,False
tika,https://github.com/apache/tika.git,Java,229128,False
submarine-site,https://github.com/apache/submarine-site.git,HTML,60533,False
submarine,https://github.com/apache/submarine.git,Java,26508,False
incubator-yunikorn-core,https://github.com/apache/incubator-yunikorn-core.git,Go,12453,False
incubator-yunikorn-k8shim,https://github.com/apache/incubator-yunikorn-k8shim.git,Go,26315,False
cxf,https://github.com/apache/cxf.git,Java,123161,False
pulsar-site,https://github.com/apache/pulsar-site.git,HTML,43197,False
pulsar-release,https://github.com/apache/pulsar-release.git,Java,1156,False
commons-beanutils,https://github.com/apache/commons-beanutils.git,Java,4332,False
pulsar-translation,https://github.com/apache/pulsar-translation.git,,2333,False
incubator-nuttx-apps,https://github.com/apache/incubator-nuttx-apps.git,C,15723,False
airflow-site,https://github.com/apache/airflow-site.git,HTML,150572,False
rocketmq-client-cpp,https://github.com/apache/rocketmq-client-cpp.git,C++,5910,False
shardingsphere-doc,https://github.com/apache/shardingsphere-doc.git,HTML,1253025,True
datafu,https://github.com/apache/datafu.git,Java,30281,False
echarts-examples,https://github.com/apache/echarts-examples.git,TypeScript,627820,True
asterixdb,https://github.com/apache/asterixdb.git,Java,181624,False
dubbo-getty,https://github.com/apache/dubbo-getty.git,Go,25785,False
cordova-osx,https://github.com/apache/cordova-osx.git,Objective-C,17618,False
metron,https://github.com/apache/metron.git,Java,97572,False
struts-examples,https://github.com/apache/struts-examples.git,Java,3623,False
incubator-pegasus,https://github.com/apache/incubator-pegasus.git,C++,33834,False
syncope,https://github.com/apache/syncope.git,Java,60524,False
phoenix-omid,https://github.com/apache/phoenix-omid.git,Java,4810,False
dubbo-go-samples,https://github.com/apache/dubbo-go-samples.git,Go,4619,False
yetus,https://github.com/apache/yetus.git,Shell,6927,False
cordova-plugin-geolocation,https://github.com/apache/cordova-plugin-geolocation.git,JavaScript,606,False
camel-k-examples,https://github.com/apache/camel-k-examples.git,Java,239,False
iotdb-website,https://github.com/apache/iotdb-website.git,HTML,473034,True
